[2017-05-18 10:12:32] Initializing upgrade...
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PageVisit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PageVisit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PollVoting.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PollVoting.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductAddedToShoppingCart.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductAddedToShoppingCart.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductAddedToWishlist.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductAddedToWishlist.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductRemovedFromShoppingCart.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\ProductRemovedFromShoppingCart.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\Purchase.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\Purchase.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PurchaseDetail.aspx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PurchaseDetail.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PurchasedProduct.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\PurchasedProduct.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\Rating.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\Rating.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContribution.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContribution.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionDelete.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionDelete.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionInsert.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionInsert.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionUpdate.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityDetails\UserContributionUpdate.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityType\Edit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityType\Edit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityType\List.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\ActivityType\List.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\ContactGroups.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\ContactGroups.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\FilterSuggest.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\FilterSuggest.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeChoose.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeChoose.ascx.cs
